36 88
Id anonymisé	1st Name	Easting	Northing	sur-sol	Antenna	Gain (dBi)	Antenna Height (m)	Azimuth	Mech. Tilt	Elec. Tilt	Total Tilt	Perte antennaire (dB)	Output Power
21126	VELLECHEVREUX	916500	2291000	363	K_730-376_900	18,5	30	70	3	0	3	3	46.00 dBm
21127	VELLECHEVREUX	916500	2291000	363	K_730-376_900	18,5	30	270	3	0	3	3	46.00 dBm
21118	RONCHAMP	922220	2308150	342	K_800-10123_900	16	23,65	80	0	0	0	3	42.20 dBm
21119	RONCHAMP	922220	2308150	342	K_800-10123_900	16	23,65	300	0	2	2	3	42.20 dBm
21136	ONANS	922550	2287050	438	RSI_UUV65-25-AA_900	18,9	42,5	50	0	2	2	2,4	44.20 dBm
21137	ONANS	922550	2287050	438	RSI_UUV65-25-AA_900	18,9	42,5	186	0	2	2	2,4	44.20 dBm
21124	CHAMPEY	927500	2296100	402	MAT_5860-102\MAT_5860-102_T3_900	17	32	60	0	3	3	1	43.00 dBm
21125	CHAMPEY	927500	2296100	402	MAT_5860-102\MAT_5860-102_T1_900	17	32	265	0	1	1	1	43.00 dBm
21109	HERICOURT_TDF	932570	2296355	368	MAT_5880-100\MAT_5880-100_T2_900	17	17	260	0	2	2	3	43.00 dBm
21128	HERICOURT_TDF	932570	2296355	368	MAT_5880-100\MAT_5880-100_T2_900	17	17	60	0	2	2	3	43.00 dBm
21129	HERICOURT_TDF	932570	2296355	368	MAT_5880-100\MAT_5880-100_T3_900	17	17	170	0	3	3	3	43.00 dBm
21106	LA_CHAPELLE_SOUS_CHAUX	932580	2313900	580	ALG_7752-00\ALG_7752-00_T2_900	16	21	0	0	2	2	1	43.00 dBm
21120	LA_CHAPELLE_SOUS_CHAUX	932580	2313900	580	ALG_7752-00\ALG_7752-00_T2_900	16	21	150	0	2	2	1	43.00 dBm
21155	GIROMAGNY_TDF	935053	2315370	691	MAT_5015-002\MAT_5015-002_T2_900	17	31	25	-2	2	0	3	43.00 dBm
21167	GIROMAGNY_TDF	935053	2315370	691	MAT_5015-002\MAT_5015-002_T2_900	17	31	110	6	2	8	3	43.00 dBm
21112	MONTBELIARD_SNCF	935971	2289343	317	ALG_7785-00\ALG_7785-00_T2_900	17	25	20	0	2	2	3	39.00 dBm
21113	MONTBELIARD_SNCF	935971	2289343	317	ALG_7785-00\ALG_7785-00_T2_900	17	25	160	0	2	2	3	41.00 dBm
21114	MONTBELIARD_SNCF	935971	2289343	317	ALG_7785-00\ALG_7785-00_T2_900	17	25	285	0	2	2	3	39.00 dBm
