nbLignes	1468
944875	290525	8.64882
944725	291275	13.0998
945250	292075	2.99091
944975	292250	1.53451
939525	293275	7.14496
938675	293450	4.59699
945100	293450	22.3186
939750	293550	11.9176
939050	293600	4.69577
944900	293625	22.1395
946575	293675	27.2315
944650	293700	20.2772
939450	293725	10.2131
941100	293775	4.21062
945350	293800	29.4044
941175	294000	6.41334
939700	294075	15.3801
938200	294150	1.15131
939675	294150	15.9075
939475	294350	14.0737
940950	294350	12.5448
939100	294375	11.0386
940300	294450	20.8616
937850	294650	2.23247
937850	294675	2.21131
940275	294675	23.6379
944600	294750	16.1166
944100	294825	10.3403
944400	294825	12.9972
944300	294875	10.4681
944275	294950	8.57172
945325	295150	14.0659
939275	295350	-3.06056
945575	295600	10.0007
944425	295800	6.02608
946300	295900	13.7552
940100	295925	20.2172
939400	296050	-0.240076
940125	296075	21.1663
940125	296300	20.4419
939650	296325	9.36299
939625	296475	10.377
946050	296625	4.83637
945200	296650	-4.24679
939575	296700	6.9815
942850	296725	-9.92161
940700	296750	17.2594
941350	296775	14.6323
940650	296825	16.9068
938650	296875	-0.583254
939725	296875	13.9662
941300	296900	14.7154
940150	296950	16.6001
938875	297025	3.39464
939525	297125	10.1906
940725	297125	14.1761
941425	297175	11.5904
939650	297200	11.7569
940375	297300	14.4932
940450	297300	13.949
940100	297325	13.462
942725	297325	-3.90996
939375	297350	7.98802
939825	297400	9.38213
941875	297400	6.72157
942275	297400	2.63637
942300	297400	2.23413
939800	297475	9.89267
942125	297475	4.10792
947075	297475	5.41468
938825	297550	-1.88632
939800	297550	10.4631
940550	297550	10.6804
940175	297575	10.8241
942400	297575	-1.85528
939825	297675	11.5145
940250	297700	11.9699
940300	297725	12.0656
939825	297900	13.7304
939100	297950	0.919426
938875	297975	1.14246
941250	298075	3.64214
938775	298100	-0.393098
939900	298125	15.9783
943825	298125	-10.7433
939725	298225	15.9148
941475	298225	2.24398
939800	298250	16.5875
939700	298275	16.5433
939725	298375	17.6185
940050	298400	19.1573
940100	298425	19.4684
939700	298450	17.8313
939800	298475	19.4192
939625	298500	17.6776
939725	298500	18.6786
939950	298500	20.2852
939775	298525	19.6854
939900	298550	20.8751
940200	298550	20.5326
939675	298575	17.7384
940200	298575	20.9272
939900	298600	21.6813
940200	298625	21.9791
936750	298650	-3.37786
939625	298750	14.3803
