nbLignes	1468
944875	290525	13.2015
944725	291275	16.0388
945250	292075	8.727
944975	292250	7.27061
939525	293275	12.8811
938675	293450	10.3331
945100	293450	25.3321
939750	293550	17.6537
939050	293600	10.4319
944900	293625	25.5628
946575	293675	32.9676
944650	293700	23.8126
939450	293725	15.9492
941100	293775	9.92175
945350	293800	33.2535
941175	294000	12.109
939700	294075	21.1162
938200	294150	6.88741
939675	294150	21.6436
939475	294350	19.8098
940950	294350	18.2505
939100	294375	16.7747
940300	294450	21.2661
937850	294650	7.96857
937850	294675	7.94741
940275	294675	23.5393
944600	294750	21.6072
944100	294825	15.927
944400	294825	18.5648
944300	294875	16.0883
944275	294950	14.2219
945325	295150	19.5674
939275	295350	0.779766
945575	295600	15.3345
944425	295800	11.6159
946300	295900	19.1658
940100	295925	25.5688
939400	296050	5.32522
940125	296075	26.4995
940125	296300	22.7298
939650	296325	14.2958
939625	296475	14.7552
946050	296625	10.3274
945200	296650	1.4697
939575	296700	12.005
942850	296725	-5.81585
940700	296750	20.8602
941350	296775	17.2639
940650	296825	20.0667
938650	296875	4.57129
939725	296875	15.313
941300	296900	16.6407
940150	296950	17.4794
938875	297025	7.44439
939525	297125	12.3587
940725	297125	16.4993
941425	297175	13.0691
939650	297200	12.8191
940375	297300	14.6833
940450	297300	14.7522
940100	297325	13.7889
942725	297325	-1.38904
939375	297350	10.2357
939825	297400	13.3834
941875	297400	6.34765
942275	297400	2.99782
942300	297400	2.76949
939800	297475	13.8846
942125	297475	4.10782
947075	297475	10.9131
938825	297550	3.05384
939800	297550	14.4531
940550	297550	12.0555
940175	297575	15.1102
942400	297575	1.06334
939825	297675	15.5115
940250	297700	16.3267
940300	297725	16.47
939825	297900	17.5923
939100	297950	4.84677
938875	297975	4.51598
941250	298075	8.95323
938775	298100	3.41839
939900	298125	19.8867
943825	298125	-5.5548
939725	298225	19.4722
941475	298225	7.60677
939800	298250	20.2919
939700	298275	19.9166
939725	298375	20.9893
940050	298400	23.2876
940100	298425	23.6858
939700	298450	21.1576
939800	298475	22.8672
939625	298500	20.6947
939725	298500	22.0039
939950	298500	24.1654
939775	298525	23.057
939900	298550	24.5752
940200	298550	24.9719
939675	298575	21.1493
940200	298575	25.3567
939900	298600	25.3255
940200	298625	26.3462
936750	298650	0.110234
939625	298750	18.1966
939825	298775	27.3931
939650	298825	18.2878
939675	298825	19.5672
937350	298850	25.0055
939625	298850	15.4159
940325	298900	29.7058
